time,x1,y1,z1,x2,y2,z2,x7,y7,z7,x6,y6,z6
0,1.890762689257546469e+01,2.531453946893437390e+00,0.000000000000000000e+00,2.970663166124282029e+01,1.246483772447332505e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
0.1,1.892379853479840079e+01,2.603448022565073572e+00,0.000000000000000000e+00,2.972069306985726200e+01,1.239240192026175080e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
0.2,1.894689142423579398e+01,2.706254602547051302e+00,0.000000000000000000e+00,2.974077257384274375e+01,1.228896455781541164e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
0.3,1.897559052391689605e+01,2.834019311020405052e+00,0.000000000000000000e+00,2.976572673507876843e+01,1.216041593319891412e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
0.4,1.900883065389540150e+01,2.982000103571774030e+00,0.000000000000000000e+00,2.979462936868773681e+01,1.201152718622458870e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
0.5,1.904574901841480283e+01,3.146355924226334810e+00,0.000000000000000000e+00,2.982673026491878687e+01,1.184616294014042204e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
0.6,1.908564675291233215e+01,3.323975517644481403e+00,0.000000000000000000e+00,2.986142175387372433e+01,1.166745353977728250e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
0.7,1.912795777709214562e+01,3.512338767001132567e+00,0.000000000000000000e+00,2.989821162293500834e+01,1.147793456444817828e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
0.8,1.917222356591460652e+01,3.709404377667971708e+00,0.000000000000000000e+00,2.993670117988243717e+01,1.127965983339664113e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
0.9,1.921807271409761242e+01,3.913518900996063810e+00,0.000000000000000000e+00,2.997656748401763949e+01,1.107429294020993282e+01,0.000000000000000000e+00,6.999999999999999556e-01,1.400000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000000e+00,0.000000000000000000e+00
