VC file,Scenario,Meas Serie,Meas Run,Subject,techno,video file,photo file,Radio file,Date,Start time,Short Notes,notes pendant mesures
5,2.2b,5,1,Nicolas Jihad Eric,TCR,,100-0128,SC2.2b_S5_R1_TCR_single,12/06/14,11:44,subjects Random walk + new interfering subject every 30s,marche aléatoire et entrée de sujet  équipés de tags optiques uniquement toutes (un sujet toutes les 20s)
6,2.2b,6,2,Nicolas Jihad Eric,TCR,,100-0142,SC2.2b_S6_R2_TCR_single,12/06/14,11:47,subjects Random walk + new interfering subject every 30s,Serie 5 sur video 
7,2.2b,7,3,Nicolas Jihad Eric,TCR,,100-0150,SC2.2b_S7_R3_TCR_single,12/06/14,11:51,subjects slow Random walk + interfering subject every 30s,sujet équipés marchent plus lentement 
8,2.2b,8,4,Nicolas Jihad Eric,TCR,,100-0159,SC2.2b_S8_R4_TCR_single,12/06/14,11:55,subjects slow Random walk + interfering subject every 30s,
9,2.2a,9,1,Nicolas Jihad Eric,TCR+HKB+BS,,100-0167,SC2.2a_S9_R1_TCR_joint,12/06/14, 12:34,Subject Slow motion: Indoor Nav then Firemen then jogging,équiper les sujet de la techno KHB.3 trois de marche augmentation graduelle de la vitesse avec tel en main gauche et puis mode navigation et marche aléatoire. Spoon phone à la main gauche de Nicolas. mouvement ralenti.
10,2.2a,10,2,Nicolas Jihad Eric,TCR+HKB+BS,,100-0196,SC2.2a_S10_R2_TCR_joint,12/06/14,12:39,Subject Slow motion: Indoor Nav then Firemen then jogging,mouvement ralenti
11,2.2a,11,3,Nicolas Jihad Eric,TCR+HKB+BS,,100-0198,SC2.2a_S11_R3_TCR_joint,12/06/14,12:43,Subject normal speed: Indoor Nav then Firemen then jogging,mouvement à vitesse normale 
12,2.2a,12,4,Nicolas Jihad Eric,TCR+HKB+BS,,100-0200,SC2.2a_S12_R4_TCR_joint,12/06/14,12:48,Subject normal speed: Indoor Nav then Firemen then jogging,mouvement du pompier : avancer deux en avant et un qui suit 
13,2.2b,13,1,Nicolas Jihad Eric,TCR+HKB+BS,,100-0204,SC2.2b_S13_R1_TCR_joint,12/06/14,12:53,subjects Random walk + new interfering subject every 30s,Bernard absent  (4 sujet avec des tag optique toutes les 20s)
14,2.2b,14,2,Nicolas Jihad Eric,TCR+HKB+BS,,100-0214,SC2.2b_S14_R2_TCR_joint,12/06/14,12:56,subjects Random walk + new interfering subject every 30s,Bernard revient 
15,2.2b,15,3,Nicolas Jihad Eric,TCR+HKB+BS,,100-0218,SC2.2b_S15_R3_TCR_joint,12/06/14,12:59,subjects Random walk + new interfering subject every 30s,
16,2.2b,16,4,Nicolas Jihad Eric,TCR+HKB+BS,,100-0220,SC2.2b_S16_R4_TCR_joint,12/06/14,13:02,subjects Random walk + new interfering subject every 30s,
17,2.2a,17,1,Nicolas Jihad Eric,HKB+BS,,100-0221,SC2.2a_S17_R1_HKB_single,12/06/14,13:06,NO HKB Subject normal speed: Indoor Nav then Firemen then jogging,"marche pompier et footing, mouvement ralenti "
18,2.2a,18,2,Nicolas Jihad Eric,HKB+BS,,100-0223,SC2.2a_S18_R2_HKB_single,12/06/14,13:15,NO HKB Subject normal speed: Indoor Nav then Firemen then jogging,Changer un nœud HKB mort . Mouvement ralenti. Problème de carte SD. 
19,2.2a,19,3,Nicolas Jihad Eric,HKB+BS,,100-0225,SC2.2a_S19_R3_HKB_single,12/06/14,13:24,NO HKB Subject normal speed: Indoor Nav then Firemen then jogging,reprendre marche normale.
20,2.2a,20,4,Nicolas Jihad Eric,HKB+BS,,100-0227,SC2.2a_S20_R4_HKB_single,12/06/14,13:27,NO HKB Subject normal speed: Indoor Nav then Firemen then jogging,
21,2.2b,21,1,Nicolas Jihad Eric,HKB+BS,,100-0228,SC2.2b_S21_R1_HKB_single,12/06/14,13:30,subjects Random walk + new interfering subject every 30s,
22,2.2b,22,2,Nicolas Jihad Eric,HKB+BS,,100-0230,SC2.2b_S22_R2_HKB_single,12/06/14,13:33,subjects Random walk + new interfering subject every 30s,
23,2.2b,23,3,Nicolas Jihad Eric,HKB+BS,,100-0233,SC2.2b_S23_R3_HKB_single,12/06/14,13:36,subjects Random walk + new interfering subject every 30s,
24,2.2b,24,4,Nicolas Jihad Eric,HKB+BS,,100-0234,SC2.2a_S24_R4_HKB_single,12/06/14,13:39,subjects Random walk + new interfering subject every 30s,
