Measure,Sensor,tu,ts,d,acy
3,157,1292000000000,1402495973652,0.4775887,0
3,74,1292000000000,1402495973695,1.4006215,0
3,157,1292250000000,1402495973901,0.4775887,0
3,74,1292250000000,1402495973966,1.4006215,0
3,157,1292500000000,1402495974151,0.4775887,0
3,74,1292500000000,1402495974203,1.4006215,0
3,157,1292750000000,1402495974399,0.4775887,0
3,74,1292750000000,1402495974453,1.1942817,0
3,157,1293000000000,1402495974653,0.4775887,0
3,74,1293000000000,1402495974709,1.1942817,0
3,157,1293250000000,1402495974903,0.4775887,0
3,74,1293250000000,1402495974954,1.1942817,0
3,157,1294000000000,1402495975149,0.4775887,0
3,74,1294000000000,1402495975195,1.1942817,0
3,157,1294250000000,1402495975402,0.4775887,0
3,74,1294250000000,1402495975447,1.1942817,0
3,157,1294500000000,1402495975658,0.4775887,0
3,74,1294500000000,1402495975691,1.6365383,0
3,157,1294750000000,1402495975903,0.4775887,0
3,74,1294750000000,1402495975943,1.6365383,0
3,157,1295000000000,1402495976153,0.4775887,0
3,74,1295000000000,1402495976186,1.4548541,0
3,157,1295250000000,1402495976404,0.47875327,0
3,74,1295250000000,1402495976459,1.3860085,0
3,157,1296000000000,1402495976647,0.59066653,0
3,74,1296000000000,1402495976680,1.3860085,0
3,157,1296250000000,1402495976897,0.59066653,0
3,74,1296250000000,1402495976935,1.3860085,0
3,157,1296500000000,1402495977154,0.59066653,0
3,74,1296500000000,1402495977202,1.3860085,0
3,157,1296750000000,1402495977400,0.59066653,0
3,74,1296750000000,1402495977447,1.3860085,0
3,157,1297000000000,1402495977656,0.59066653,0
3,74,1297000000000,1402495977702,1.3860085,0
3,157,1297250000000,1402495977900,0.59066653,0
3,74,1297250000000,1402495977953,1.3860085,0
3,157,1298000000000,1402495978152,0.59066653,0
3,74,1298000000000,1402495978191,1.4252051,0
3,157,1298250000000,1402495978406,0.59066653,0
3,74,1298250000000,1402495978464,1.4252051,0
3,157,1298500000000,1402495978654,0.59066653,0
3,74,1298500000000,1402495978702,1.4252051,0
3,157,1298750000000,1402495978900,0.59066653,0
3,74,1298750000000,1402495978957,1.4252051,0
3,157,1299000000000,1402495979150,0.59066653,0
3,74,1299000000000,1402495979204,1.4252051,0
3,157,1299250000000,1402495979398,0.59066653,0
3,74,1299250000000,1402495979451,1.4252051,0
3,157,1300000000000,1402495979650,0.59066653,0
3,74,1300000000000,1402495979699,1.4252051,0
3,157,1300250000000,1402495979905,0.59066653,0
3,74,1300250000000,1402495979945,1.4252051,0
3,157,1300500000000,1402495980155,0.59066653,0
3,74,1300500000000,1402495980189,1.4252051,0
3,157,1300750000000,1402495980405,0.59066653,0
3,74,1300750000000,1402495980445,1.398828,0
3,157,1301000000000,1402495980649,0.59066653,0
3,74,1301000000000,1402495980693,1.383033,0
